wallet,risk_level,risk_score,bot_score,bot_classification,bot_confidence,is_wash_trading,wash_trading_flags,wash_flag_count,combined_threat
CPWqAfzJzDPZza16BB22dceKCBktxYGyAxi1kSHjSPLx,HIGH,69.5,0.38999999999999996,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
mXAETra6UZNZJSkPBb5pCZKK7ewo2LpkNpEztGHKaX2,HIGH,64.5,0.38999999999999996,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5BuRuj2kLZyGWA1EG9vEGhckNt7UZgE8Ujvhph2MrHSv,HIGH,64.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
CCcM4XTNsdS5R2D7meMX8kaPzWLCuHK7F9SHG8ZXe7ty,HIGH,60.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
772EuqFfAxXaqhDfgQsG5i1hibBwR1z8hrmW18gkt5MQ,HIGH,60.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
3BUjhLw2Gaz3WR7hwb6357SZC7odnQrcDu9dWF8qFkdD,HIGH,60.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
Dmm7dp8LmwBQ2qVSuGYt5bfYkkFAtq7kp1EwFZa5AL4J,HIGH,60.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5x1LfJ4MqyrSPKLEVT9qogpofhTpmNyhhaRQMBASYBab,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
AhR2gTxbKpouGEzTJ86Cki2z2qSDe9p7to8jxYCAWsfZ,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
FYUowdAVvsaPch5oZuF9WxmbKJjyhsqya96pBNpigRjb,HIGH,60.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
98M3bCEfRywN3cfhsySJcv6vBqX78HHBRxxUfprVckEc,HIGH,59.5,0.29,HUMAN,LOW,True,"rapid_roundtrips,high_frequency_pairs,circular_patterns",3,HIGH
D9rZYtNytiZdxdpgXQCyP5Jzvhyk9UfCjTK1345Y3FFM,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9bswHWE9TyKJzdaV1VexPbhbfmejQ3sZMHLLJE3ro8q4,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,circular_patterns",3,HIGH
Hi8vEqvLCtc7E4RPmZZF4CSM5RqmnmfgTVtVmAeaw7Qk,HIGH,58.5,0.27,HUMAN,LOW,True,"rapid_roundtrips,high_frequency_pairs,circular_patterns",3,HIGH
HqpYhfUtdPaojCg48wF6cyaX6C2rirXSiuKjtdMcUfFu,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
B9YSqVjFR5f65PkC2vth2NGg4kBwVsBmWa6Um4Y894VR,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,circular_patterns",3,HIGH
39ETXnAw29kKTaRzB1ZuehGFx1pJEMHZSBg36uZWLfUw,MEDIUM,49.5,0.38999999999999996,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4m7U4U3GjREnP3aTFyzgToC2m5JTbhjLUFvXNE2zcqSg,MEDIUM,49.5,0.38999999999999996,HUMAN,LOW,True,"self_transfers,circular_patterns",2,HIGH
F5GStRa7cyEqgxATrQUchZrAY3eg8AXgsef8YPScJfof,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
DWCPMKFd3qhkAiUEZdgKtdf5i1K7BGqag6N1Es8BewPV,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4T2VykPogCWRbnwsp3TJ7CU3u36Ss37GQWQj7XFAbsJg,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
G4DMDwkoSJ7N8gMrGhT4Y1koznrhjE7PV1GAd6mJUkBf,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4aveqAeE6XErmYzcYkqnRQyZcLvP32vf9rbVUQZMC58p,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
FmHbM1HZ5ZGrdQBAiYMso4GS9BCMpSsxDsAg5ZwGrqdF,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
HeZYovGwS62eFGJ3mp3uTtdMCpJroJzsXDDT88RBCUW4,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
8CJKKS5ms8Gk5UHr4M6cFwGvakhth6BFVmx991oNf9Kx,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
B7n6M8WcfUwn51m2VtNUpLDFHweVJpT3k5Actb7u1MCF,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
GxLT9onLLJ7NV5P1wgZmkqCqqz1kq9S6P54F6PVrG4jP,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
3Mskn93wNPbpGoxnQPveXXNXK7jKnwZwTUwqgvCPEo6s,MEDIUM,44.5,0.29,HUMAN,LOW,True,"rapid_roundtrips,circular_patterns",2,HIGH
Fanz8YZtnUh7ZLskVk8b7USBFgFzbCVZ2WcokatZo2du,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
A6vsCGhoc84sx4XZP334cLQtpcwojEL4BuBtcws7gHwn,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
47emApVzK6D7D1m1RCFYygND5up731W3rv83v88vzFLi,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
5KY6wmB1j5ZPEQNC5dMjjGvA8vNfgdtAqBuyHUP67311,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
9z97aZstVyTYCZrg2iBnxCgoCevmMjg7MvvGqwMY6XkF,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
HodKGPmiUNY95QsJVugPTWVsmZoWEqxuLA6bB8LSRUWr,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4quwjx6CHCWDvthDzhJN9zdUu6MAWUhqDvZoqpdz537Q,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
6RERSWCmZsaN8ECELTTLp4Gvbn1z5Vk1bBJVLLcnCWuJ,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
CS1yRaZG7839Jryzo1friATLHHBaWKTahHSVBAiVXnhx,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4fWsyKzesqj6KJPdoGi42NFEbmzqJbnqD8sfDB5dxNbx,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
PBdqHxS9Z8iHBfDENR5mFsj14QKY2yYz7acKCBoUyRk,MEDIUM,30.5,0.31,HUMAN,LOW,True,self_transfers,1,HIGH
91QtB9XPu3Yhz8ZydNisakHaSyowdnocsQnx34QV5Rcu,MEDIUM,29.5,0.29,HUMAN,LOW,True,self_transfers,1,HIGH
9Phgutds4HboALveVRd5ck4PmsmrsdY8qkMUtJN1B1wS,MEDIUM,29.5,0.29,HUMAN,LOW,True,circular_patterns,1,HIGH
FjLVihjoGaVffAi18JebUg3BZyobR5d3eGqksnuBRQmB,MEDIUM,29.5,0.29,HUMAN,LOW,True,circular_patterns,1,HIGH
8AaKtjgDTbg3pZdgAFPadS9qwHUom4DZogsSG17tXv6H,MEDIUM,28.5,0.27,HUMAN,LOW,True,high_frequency_pairs,1,HIGH
pyP6BVfTne321yYweXAkjb1ocQk8KcKF8FJ29JLgz6W,MEDIUM,25.5,0.21000000000000002,HUMAN,LOW,True,self_transfers,1,HIGH
